DOW MON DY HH:MM:SS YYYY UTC-OFFSET  EVTTYPE    POINT   MMI   STATE          DESCRIPTION
Thu Jan 01 00:03:13 1970(UTC+00:00)  VELEVENT   04714   001   Warning        Shutdown - Loss Of Power
Thu Jan 01 00:06:23 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:03:13 1970(UTC+00:00)  VELEVENT   05053   001   Clear          Loss of Air Flow
Thu Jan 01 00:03:13 1970(UTC+00:00)  VELEVENT   05110   001   Message        Unit Off
Thu Jan 01 00:03:14 1970(UTC+00:00)  VELEVENT   05110   001   Clear          Unit Off
Thu Jan 01 00:03:14 1970(UTC+00:00)  VELEVENT   05113   001   Message        Unit Shutdown
Thu Jan 01 00:03:15 1970(UTC+00:00)  VELEVENT   05113   001   Clear          Unit Shutdown
Thu Jan 01 00:03:18 1970(UTC+00:00)  VELEVENT   04714   001   Warning        Shutdown - Loss Of Power
Thu Jan 01 00:03:18 1970(UTC+00:00)  VELEVENT   05110   001   Message        Unit Off
Thu Jan 01 00:03:18 1970(UTC+00:00)  VELEVENT   05113   001   Message        Unit Shutdown
Thu Jan 01 00:03:18 1970(UTC+00:00)  VELEVENT   05053   001   Alarm          Loss of Air Flow
Thu Jan 01 00:03:00 1970(UTC+00:00)  VELEVENT   05109   001   Message        Unit On
Thu Jan 01 00:03:01 1970(UTC+00:00)  VELEVENT   05109   001   Clear          Unit On
Thu Jan 01 00:03:06 1970(UTC+00:00)  VELEVENT   05109   001   Message        Unit On
Thu Jan 01 00:06:22 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:11:51 1970(UTC+00:00)  VELEVENT   05118   001   Warning        Clogged Air Filter
Thu Jan 01 00:18:23 1970(UTC+00:00)  VELEVENT   05118   001   Clear          Clogged Air Filter
Thu Jan 01 00:18:24 1970(UTC+00:00)  VELEVENT   05118   001   Warning        Clogged Air Filter
Thu Jan 01 00:18:56 1970(UTC+00:00)  VELEVENT   05118   001   Clear          Clogged Air Filter
Thu Jan 01 00:18:57 1970(UTC+00:00)  VELEVENT   05110   001   Message        Unit Off
Thu Jan 01 00:18:57 1970(UTC+00:00)  VELEVENT   05110   001   Clear          Unit Off
Thu Jan 01 00:03:12 1970(UTC+00:00)  VELEVENT   05109   001   Message        Unit On
Thu Jan 01 00:03:13 1970(UTC+00:00)  VELEVENT   05109   001   Clear          Unit On
Thu Jan 01 00:03:18 1970(UTC+00:00)  VELEVENT   05109   001   Message        Unit On
Thu Jan 01 00:03:21 1970(UTC+00:00)  VELEVENT   05118   001   Warning        Clogged Air Filter
Thu Jan 01 00:03:43 1970(UTC+00:00)  VELEVENT   05118   001   Clear          Clogged Air Filter
